year,group,group_display,grade_level_name,grade_level_code,subject,staar_grouping,value
2024,state,State,Grade 3,3,Reading,Approaches or Above,0.74
2024,region20,Region20,Grade 3,3,Reading,Approaches or Above,0.72
2024,district,District,Grade 3,3,Reading,Approaches or Above,0.7
2024,african_american,African American,Grade 3,3,Reading,Approaches or Above,0.62
2024,hispanic,Hispanic,Grade 3,3,Reading,Approaches or Above,0.66
2024,white,White,Grade 3,3,Reading,Approaches or Above,0.75
2024,american_indian,American Indian,Grade 3,3,Reading,Approaches or Above,NA
2024,asian,Asian,Grade 3,3,Reading,Approaches or Above,0.92
2024,pacific_islander,Pacific Islander,Grade 3,3,Reading,Approaches or Above,NA
2024,two_or_more_races,Two or More Races,Grade 3,3,Reading,Approaches or Above,0.76
2024,special_ed_current,Special Ed Current,Grade 3,3,Reading,Approaches or Above,0.4
2024,special_ed_former,Special Ed Former,Grade 3,3,Reading,Approaches or Above,0.73
2024,continuously_enrolled,Continuously Enrolled,Grade 3,3,Reading,Approaches or Above,0.7
2024,non_continuously_enrolled,Non Continuously Enrolled,Grade 3,3,Reading,Approaches or Above,0.69
2024,econ_disadv,Econ Disadv,Grade 3,3,Reading,Approaches or Above,0.63
2024,eb_el_current_and_monitored,EB EL Current and Monitored,Grade 3,3,Reading,Approaches or Above,0.53
2023,state,State,Grade 3,3,Reading,Approaches or Above,0.76
2023,region20,Region20,Grade 3,3,Reading,Approaches or Above,0.74
2023,district,District,Grade 3,3,Reading,Approaches or Above,0.75
2023,african_american,African American,Grade 3,3,Reading,Approaches or Above,0.74
2023,hispanic,Hispanic,Grade 3,3,Reading,Approaches or Above,0.74
2023,white,White,Grade 3,3,Reading,Approaches or Above,0.75
2023,american_indian,American Indian,Grade 3,3,Reading,Approaches or Above,NA
2023,asian,Asian,Grade 3,3,Reading,Approaches or Above,0.88
2023,pacific_islander,Pacific Islander,Grade 3,3,Reading,Approaches or Above,0.83
2023,two_or_more_races,Two or More Races,Grade 3,3,Reading,Approaches or Above,0.8
2023,special_ed_current,Special Ed Current,Grade 3,3,Reading,Approaches or Above,0.47
2023,special_ed_former,Special Ed Former,Grade 3,3,Reading,Approaches or Above,0.85
2023,continuously_enrolled,Continuously Enrolled,Grade 3,3,Reading,Approaches or Above,0.74
2023,non_continuously_enrolled,Non Continuously Enrolled,Grade 3,3,Reading,Approaches or Above,0.78
2023,econ_disadv,Econ Disadv,Grade 3,3,Reading,Approaches or Above,0.65
2023,eb_el_current_and_monitored,EB EL Current and Monitored,Grade 3,3,Reading,Approaches or Above,0.59
2024,state,State,Grade 3,3,Reading,Meets or Above,0.48
2024,region20,Region20,Grade 3,3,Reading,Meets or Above,0.46
2024,district,District,Grade 3,3,Reading,Meets or Above,0.41
2024,african_american,African American,Grade 3,3,Reading,Meets or Above,0.31
2024,hispanic,Hispanic,Grade 3,3,Reading,Meets or Above,0.37
2024,white,White,Grade 3,3,Reading,Meets or Above,0.49
2024,american_indian,American Indian,Grade 3,3,Reading,Meets or Above,NA
2024,asian,Asian,Grade 3,3,Reading,Meets or Above,0.62
2024,pacific_islander,Pacific Islander,Grade 3,3,Reading,Meets or Above,NA
2024,two_or_more_races,Two or More Races,Grade 3,3,Reading,Meets or Above,0.46
2024,special_ed_current,Special Ed Current,Grade 3,3,Reading,Meets or Above,0.19
2024,special_ed_former,Special Ed Former,Grade 3,3,Reading,Meets or Above,0.36
2024,continuously_enrolled,Continuously Enrolled,Grade 3,3,Reading,Meets or Above,0.4
2024,non_continuously_enrolled,Non Continuously Enrolled,Grade 3,3,Reading,Meets or Above,0.42
2024,econ_disadv,Econ Disadv,Grade 3,3,Reading,Meets or Above,0.31
2024,eb_el_current_and_monitored,EB EL Current and Monitored,Grade 3,3,Reading,Meets or Above,0.21
2023,state,State,Grade 3,3,Reading,Meets or Above,0.5
2023,region20,Region20,Grade 3,3,Reading,Meets or Above,0.47
2023,district,District,Grade 3,3,Reading,Meets or Above,0.4
2023,african_american,African American,Grade 3,3,Reading,Meets or Above,0.33
2023,hispanic,Hispanic,Grade 3,3,Reading,Meets or Above,0.39
2023,white,White,Grade 3,3,Reading,Meets or Above,0.42
2023,american_indian,American Indian,Grade 3,3,Reading,Meets or Above,NA
2023,asian,Asian,Grade 3,3,Reading,Meets or Above,0.63
2023,pacific_islander,Pacific Islander,Grade 3,3,Reading,Meets or Above,0.5
2023,two_or_more_races,Two or More Races,Grade 3,3,Reading,Meets or Above,0.45
2023,special_ed_current,Special Ed Current,Grade 3,3,Reading,Meets or Above,0.17
2023,special_ed_former,Special Ed Former,Grade 3,3,Reading,Meets or Above,0.38
2023,continuously_enrolled,Continuously Enrolled,Grade 3,3,Reading,Meets or Above,0.41
2023,non_continuously_enrolled,Non Continuously Enrolled,Grade 3,3,Reading,Meets or Above,0.38
2023,econ_disadv,Econ Disadv,Grade 3,3,Reading,Meets or Above,0.32
2023,eb_el_current_and_monitored,EB EL Current and Monitored,Grade 3,3,Reading,Meets or Above,0.24
2024,state,State,Grade 3,3,Reading,Masters,0.21
2024,region20,Region20,Grade 3,3,Reading,Masters,0.19
2024,district,District,Grade 3,3,Reading,Masters,0.12
2024,african_american,African American,Grade 3,3,Reading,Masters,0.07
2024,hispanic,Hispanic,Grade 3,3,Reading,Masters,0.09
2024,white,White,Grade 3,3,Reading,Masters,0.15
2024,american_indian,American Indian,Grade 3,3,Reading,Masters,NA
2024,asian,Asian,Grade 3,3,Reading,Masters,0.31
2024,pacific_islander,Pacific Islander,Grade 3,3,Reading,Masters,NA
2024,two_or_more_races,Two or More Races,Grade 3,3,Reading,Masters,0.19
2024,special_ed_current,Special Ed Current,Grade 3,3,Reading,Masters,0.05
2024,special_ed_former,Special Ed Former,Grade 3,3,Reading,Masters,0.14
2024,continuously_enrolled,Continuously Enrolled,Grade 3,3,Reading,Masters,0.11
2024,non_continuously_enrolled,Non Continuously Enrolled,Grade 3,3,Reading,Masters,0.13
2024,econ_disadv,Econ Disadv,Grade 3,3,Reading,Masters,0.06
2024,eb_el_current_and_monitored,EB EL Current and Monitored,Grade 3,3,Reading,Masters,0.07
2023,state,State,Grade 3,3,Reading,Masters,0.2
2023,region20,Region20,Grade 3,3,Reading,Masters,0.17
2023,district,District,Grade 3,3,Reading,Masters,0.12
2023,african_american,African American,Grade 3,3,Reading,Masters,0.04
2023,hispanic,Hispanic,Grade 3,3,Reading,Masters,0.11
2023,white,White,Grade 3,3,Reading,Masters,0.16
2023,american_indian,American Indian,Grade 3,3,Reading,Masters,NA
2023,asian,Asian,Grade 3,3,Reading,Masters,0.19
2023,pacific_islander,Pacific Islander,Grade 3,3,Reading,Masters,0
2023,two_or_more_races,Two or More Races,Grade 3,3,Reading,Masters,0.14
2023,special_ed_current,Special Ed Current,Grade 3,3,Reading,Masters,0.03
2023,special_ed_former,Special Ed Former,Grade 3,3,Reading,Masters,0.13
2023,continuously_enrolled,Continuously Enrolled,Grade 3,3,Reading,Masters,0.11
