level,survey_period,x,percent_favorable,sense_of_belonging
Elementary,Fall 2018,2018.5,,0.62
Elementary,Spring 2019,2019,,0.59
Elementary,Fall 2019,2019.5,0.59,0.66
Elementary,Fall 2020,2020.5,0.54,0.68
Elementary,Winter 2020,2020.75,,0.66
Elementary,Spring 2021,2021,0.51,0.63
Elementary,Fall 2021,2021.5,0.51,0.64
Elementary,Winter 2022,2022.75,0.55,0.66
Elementary,Spring 2022,2022,0.51,0.63
Elementary,Fall 2022,2022.5,0.54,0.67
Elementary,Winter 2023,2023.75,0.52,0.67
Elementary,Spring 2023,2023,0.49,0.64
Elementary,Fall 2023,2023.75,0.55,0.68
Elementary,Winter 2024,2024.75,0.52,0.67
Elementary,Spring 2024,2024,0.51,0.64
Elementary,Fall 2024,2024.25,0.54,0.72
Elementary,Winter 2025,2025.75,0.52,0.72
