date,value,campus,metric
2024-08-16,0.9641,als_elc,attend
2024-08-16,0.9828,clemens,attend
2024-08-16,0.9866,green_valley,attend
2024-08-16,0.9867,corbett,attend
2024-08-16,0.9869,wiederstein,attend
2024-08-16,0.9875,schertz,attend
2024-08-16,0.988,b_steele,attend
2024-08-16,0.9883,district_total,attend
2024-08-16,0.9884,rose_garden,attend
2024-08-16,0.9885,jordan,attend
2024-08-16,0.989,wilder,attend
2024-08-16,0.9914,schlather,attend
2024-08-16,0.9933,watts,attend
2024-08-16,0.9938,dobie,attend
2024-08-16,0.9945,cibolo_valley,attend
2024-08-16,0.9949,sippel,attend
2024-08-16,0.9963,paschal,attend
2024-08-23,0.8506,als_elc,attend
2024-08-23,0.9573,rose_garden,attend
2024-08-23,0.9579,district_total,attend
2024-08-23,0.9581,wiederstein,attend
2024-08-23,0.9606,corbett,attend
2024-08-23,0.9608,wilder,attend
2024-08-23,0.9622,clemens,attend
2024-08-23,0.9637,sippel,attend
2024-08-23,0.9646,schertz,attend
2024-08-23,0.9655,green_valley,attend
2024-08-23,0.9656,watts,attend
2024-08-23,0.966,cibolo_valley,attend
2024-08-23,0.9664,b_steele,attend
2024-08-23,0.9682,jordan,attend
2024-08-23,0.9701,dobie,attend
2024-08-23,0.972,paschal,attend
2024-08-23,0.975,schlather,attend
2024-08-30,0.8354,als_elc,attend
2024-08-30,0.9386,corbett,attend
2024-08-30,0.9386,wiederstein,attend
2024-08-30,0.9396,district_total,attend
2024-08-30,0.9407,wilder,attend
2024-08-30,0.9419,paschal,attend
2024-08-30,0.9421,rose_garden,attend
2024-08-30,0.9428,dobie,attend
2024-08-30,0.9431,watts,attend
2024-08-30,0.9464,schertz,attend
2024-08-30,0.9481,clemens,attend
2024-08-30,0.9487,green_valley,attend
2024-08-30,0.9497,jordan,attend
2024-08-30,0.9512,schlather,attend
2024-08-30,0.9538,cibolo_valley,attend
2024-08-30,0.9543,b_steele,attend
2024-08-30,0.9582,sippel,attend
2024-09-06,0.7937000000000001,als_elc,attend
2024-09-06,0.9319,clemens,attend
2024-09-06,0.9386,district_total,attend
2024-09-06,0.939,corbett,attend
2024-09-06,0.939,wilder,attend
2024-09-06,0.9398,jordan,attend
2024-09-06,0.9408,b_steele,attend
2024-09-06,0.941,cibolo_valley,attend
2024-09-06,0.9484,watts,attend
2024-09-06,0.9494,wiederstein,attend
2024-09-06,0.9497,schlather,attend
2024-09-06,0.9521,green_valley,attend
2024-09-06,0.9527,rose_garden,attend
2024-09-06,0.9535,dobie,attend
2024-09-06,0.957,schertz,attend
2024-09-06,0.9632,sippel,attend
2024-09-06,0.966,paschal,attend
2024-09-13,0.7686,als_elc,attend
2024-09-13,0.9392,rose_garden,attend
2024-09-13,0.9417,district_total,attend
2024-09-13,0.9423,wilder,attend
2024-09-13,0.9424,clemens,attend
2024-09-13,0.9435,corbett,attend
2024-09-13,0.9463,schertz,attend
2024-09-13,0.9487,b_steele,attend
2024-09-13,0.9489,watts,attend
2024-09-13,0.9545,jordan,attend
2024-09-13,0.958,green_valley,attend
2024-09-13,0.9597,sippel,attend
2024-09-13,0.9599,cibolo_valley,attend
2024-09-13,0.9606,dobie,attend
2024-09-13,0.9618,wiederstein,attend
2024-09-13,0.9657,schlather,attend
2024-09-13,0.9664,paschal,attend
2024-09-19,0.78,als_elc,attend
2024-09-19,0.9333,schertz,attend
2024-09-19,0.9389,clemens,attend
2024-09-19,0.9433,district_total,attend
2024-09-19,0.9446,watts,attend
2024-09-19,0.949,rose_garden,attend
2024-09-19,0.9491,wilder,attend
2024-09-19,0.95,corbett,attend
2024-09-19,0.9526,b_steele,attend
2024-09-19,0.9542,sippel,attend
2024-09-19,0.9546,jordan,attend
2024-09-19,0.9561,wiederstein,attend
2024-09-19,0.9584,cibolo_valley,attend
2024-09-19,0.9599,dobie,attend
2024-09-19,0.9651,schlather,attend
2024-09-19,0.9728,paschal,attend
2024-09-19,0.9736,green_valley,attend
2024-09-27,0.8355,als_elc,attend
2024-09-27,0.9432,corbett,attend
2024-09-27,0.9445,clemens,attend
2024-09-27,0.9463,wiederstein,attend
2024-09-27,0.9479,district_total,attend
2024-09-27,0.9513,rose_garden,attend
2024-09-27,0.9522,wilder,attend
2024-09-27,0.9526,b_steele,attend
2024-09-27,0.9538,schertz,attend
2024-09-27,0.9541,jordan,attend
2024-09-27,0.9593,watts,attend
2024-09-27,0.9594,cibolo_valley,attend
2024-09-27,0.9616,dobie,attend
2024-09-27,0.9616,paschal,attend
2024-09-27,0.9632,schlather,attend
2024-09-27,0.9637,sippel,attend
2024-09-27,0.9638,green_valley,attend
2024-10-04,0.7526,als_elc,attend
2024-10-04,0.8491,wilder,attend
2024-10-04,0.9328,district_total,attend
2024-10-04,0.9345,corbett,attend
2024-10-04,0.9424,paschal,attend
2024-10-04,0.9434,clemens,attend
2024-10-04,0.9434,rose_garden,attend
2024-10-04,0.9467,schertz,attend
2024-10-04,0.9484,jordan,attend
2024-10-04,0.9489,b_steele,attend
2024-10-04,0.9536,wiederstein,attend
2024-10-04,0.9555,sippel,attend
2024-10-04,0.9556,watts,attend
2024-10-04,0.9595,cibolo_valley,attend
2024-10-04,0.9596,green_valley,attend
2024-10-04,0.9623,dobie,attend
2024-10-04,0.9685,schlather,attend
2024-10-10,0.805,als_elc,attend
2024-10-10,0.9162,corbett,attend
2024-10-10,0.937,clemens,attend
2024-10-10,0.9425,district_total,attend
2024-10-10,0.9464,rose_garden,attend
2024-10-10,0.9477,wilder,attend
2024-10-10,0.9498,wiederstein,attend
2024-10-10,0.9509,b_steele,attend
2024-10-10,0.9537,jordan,attend
2024-10-10,0.9539,watts,attend
2024-10-10,0.9561,schertz,attend
2024-10-10,0.9564,paschal,attend
2024-10-10,0.9566,sippel,attend
2024-10-10,0.9594,cibolo_valley,attend
2024-10-10,0.9611,dobie,attend
2024-10-10,0.9616,schlather,attend
2024-10-10,0.9683,green_valley,attend
2024-10-18,0.7772,als_elc,attend
2024-10-18,0.9279,clemens,attend
2024-10-18,0.9347,wilder,attend
2024-10-18,0.9402,district_total,attend
2024-10-18,0.9406,corbett,attend
2024-10-18,0.9408,rose_garden,attend
2024-10-18,0.9447,b_steele,attend
2024-10-18,0.9477,wiederstein,attend
2024-10-18,0.9523,schertz,attend
2024-10-18,0.954,jordan,attend
2024-10-18,0.9568,watts,attend
2024-10-18,0.9574,cibolo_valley,attend
2024-10-18,0.9582,schlather,attend
2024-10-18,0.9598,paschal,attend
2024-10-18,0.9613,dobie,attend
2024-10-18,0.9635,sippel,attend
2024-10-18,0.9658,green_valley,attend
2024-10-25,0.7598,als_elc,attend
2024-10-25,0.9272,corbett,attend
2024-10-25,0.9327,district_total,attend
2024-10-25,0.9335,clemens,attend
2024-10-25,0.9343,wiederstein,attend
2024-10-25,0.9355,wilder,attend
2024-10-25,0.9385,rose_garden,attend
2024-10-25,0.9391,jordan,attend
2024-10-25,0.9435,sippel,attend
2024-10-25,0.9445,cibolo_valley,attend
2024-10-25,0.9469,green_valley,attend
2024-10-25,0.9478,schertz,attend
2024-10-25,0.9484,watts,attend
2024-10-25,0.951,b_steele,attend
2024-10-25,0.9556,schlather,attend
2024-10-25,0.9562,dobie,attend
2024-10-25,0.9614,paschal,attend
2024-11-01,0.755,als_elc,attend
2024-11-01,0.9126,rose_garden,attend
2024-11-01,0.9209,clemens,attend
2024-11-01,0.9238,corbett,attend
2024-11-01,0.9243,district_total,attend
2024-11-01,0.9265,jordan,attend
2024-11-01,0.9272,wilder,attend
2024-11-01,0.9311,watts,attend
